queue_id,experiment_id,guardian_id,guardian_name,experiment_type,status,step,deliverable,asset_id,target_url,owner,acceptance_check,writeback,safety_boundary
iris-identity_save-brief,iris-identity_save,iris,艾莉絲,identity_save,blocked_by_gate,brief,"Write a one-page asset brief with guardian, scene, promise boundary, and CTA.",iris-free_story_card_upgrade,https://lovetypes.tw/keepsakes/#keepsake-iris,content,Brief keeps the Shorts CTA as quiz and places offer only after result route.,Update offer-experiment-plan after KPI review.,只在結果後、旅人補給、Luna 或 Contact 路線測試；不診斷、不承諾療效、不要求購買。
iris-identity_save-asset,iris-identity_save,iris,艾莉絲,identity_save,blocked_by_gate,asset,Produce the smallest useful asset or route copy for the experiment.,iris-free_story_card_upgrade,https://lovetypes.tw/keepsakes/#keepsake-iris,creative,Asset links to the existing target URL and does not claim diagnosis or therapeutic outcome.,Record fulfillment asset in lead-intake-tracker.csv when a real request exists.,只在結果後、旅人補給、Luna 或 Contact 路線測試；不診斷、不承諾療效、不要求購買。
iris-identity_save-qa,iris-identity_save,iris,艾莉絲,identity_save,blocked_by_gate,qa,"Check safety copy, route, tracking event, and mobile presentation before publish.",iris-free_story_card_upgrade,https://lovetypes.tw/keepsakes/#keepsake-iris,ops,Public smoke remains clean and no paid CTA is added before the experiment is READY.,Run predeploy_check.py before deploy.,只在結果後、旅人補給、Luna 或 Contact 路線測試；不診斷、不承諾療效、不要求購買。
iris-identity_save-measure,iris-identity_save,iris,艾莉絲,identity_save,blocked_by_gate,measure,"After the test window, backfill KPI fields and decide continue, revise, or stop.",iris-free_story_card_upgrade,https://lovetypes.tw/keepsakes/#keepsake-iris,ops,KPI row includes primary and secondary metric fields for the experiment.,"Update kpi-tracker.csv, weekly-summary, decision gate, offer board, and experiment plan.",只在結果後、旅人補給、Luna 或 Contact 路線測試；不診斷、不承諾療效、不要求購買。
iris-owned_lead-brief,iris-owned_lead,iris,艾莉絲,owned_lead,blocked_by_gate,brief,"Write a one-page asset brief with guardian, scene, promise boundary, and CTA.",iris-email_lead_template,https://lovetypes.tw/contact/#luna-supply-request,content,Brief keeps the Shorts CTA as quiz and places offer only after result route.,Update offer-experiment-plan after KPI review.,只在結果後、旅人補給、Luna 或 Contact 路線測試；不診斷、不承諾療效、不要求購買。
iris-owned_lead-asset,iris-owned_lead,iris,艾莉絲,owned_lead,blocked_by_gate,asset,Produce the smallest useful asset or route copy for the experiment.,iris-email_lead_template,https://lovetypes.tw/contact/#luna-supply-request,creative,Asset links to the existing target URL and does not claim diagnosis or therapeutic outcome.,Record fulfillment asset in lead-intake-tracker.csv when a real request exists.,只在結果後、旅人補給、Luna 或 Contact 路線測試；不診斷、不承諾療效、不要求購買。
iris-owned_lead-qa,iris-owned_lead,iris,艾莉絲,owned_lead,blocked_by_gate,qa,"Check safety copy, route, tracking event, and mobile presentation before publish.",iris-email_lead_template,https://lovetypes.tw/contact/#luna-supply-request,ops,Public smoke remains clean and no paid CTA is added before the experiment is READY.,Run predeploy_check.py before deploy.,只在結果後、旅人補給、Luna 或 Contact 路線測試；不診斷、不承諾療效、不要求購買。
iris-owned_lead-measure,iris-owned_lead,iris,艾莉絲,owned_lead,blocked_by_gate,measure,"After the test window, backfill KPI fields and decide continue, revise, or stop.",iris-email_lead_template,https://lovetypes.tw/contact/#luna-supply-request,ops,KPI row includes primary and secondary metric fields for the experiment.,"Update kpi-tracker.csv, weekly-summary, decision gate, offer board, and experiment plan.",只在結果後、旅人補給、Luna 或 Contact 路線測試；不診斷、不承諾療效、不要求購買。
iris-luna_soft_offer-brief,iris-luna_soft_offer,iris,艾莉絲,luna_soft_offer,blocked_by_gate,brief,"Write a one-page asset brief with guardian, scene, promise boundary, and CTA.",iris-luna_scene_cta,https://lovetypes.tw/luna-yoga-music/#luna-iris,content,Brief keeps the Shorts CTA as quiz and places offer only after result route.,Update offer-experiment-plan after KPI review.,只在結果後、旅人補給、Luna 或 Contact 路線測試；不診斷、不承諾療效、不要求購買。
iris-luna_soft_offer-asset,iris-luna_soft_offer,iris,艾莉絲,luna_soft_offer,blocked_by_gate,asset,Produce the smallest useful asset or route copy for the experiment.,iris-luna_scene_cta,https://lovetypes.tw/luna-yoga-music/#luna-iris,creative,Asset links to the existing target URL and does not claim diagnosis or therapeutic outcome.,Record fulfillment asset in lead-intake-tracker.csv when a real request exists.,只在結果後、旅人補給、Luna 或 Contact 路線測試；不診斷、不承諾療效、不要求購買。
iris-luna_soft_offer-qa,iris-luna_soft_offer,iris,艾莉絲,luna_soft_offer,blocked_by_gate,qa,"Check safety copy, route, tracking event, and mobile presentation before publish.",iris-luna_scene_cta,https://lovetypes.tw/luna-yoga-music/#luna-iris,ops,Public smoke remains clean and no paid CTA is added before the experiment is READY.,Run predeploy_check.py before deploy.,只在結果後、旅人補給、Luna 或 Contact 路線測試；不診斷、不承諾療效、不要求購買。
