id,phase,severity,status,trigger,stop,recovery,source,operatorAction
wrong_platform_account,profile_setup,stop,armed,"Visible account, channel, public profile, or edit permission does not match the intended LoveTypes platform identity.","Do not set profile link, do not publish, and do not write back profile status.","Switch to the correct account, rerun platform account identity checklist, then capture a traceable proof note.",platform-account-identity-checklist.json,"If trigger appears, follow stop condition first, then recovery condition."
profile_link_wrong_or_missing,profile_setup,stop,armed,"Profile link is not the planned /start/ UTM URL, is missing, or cannot be clicked from the public profile.",Do not mark profile set/live and do not publish first-batch posts.,"Fix the profile link, verify it opens lovetypes.tw/start/ with UTM preserved, then run profile text import check/add.",profile-proof-readiness-pack.json,"If trigger appears, follow stop condition first, then recovery condition."
publish_before_profile_gate,publish_first_batch,stop,armed,A first-batch post is about to publish while ready_to_publish is false.,Cancel or leave draft/scheduled; do not publish manually around the gate.,"Complete all three profile rows, refresh launch readiness, then use the first-batch publish action sheet.",first-batch-publication-packet.json,"If trigger appears, follow stop condition first, then recovery condition."
post_not_public,post_url_writeback,hold,armed,"Post URL exists but is private, draft-only, login-only, or not reachable from a public browser.",Do not write back post_url as published and do not count KPI.,"Make the post public or replace with the correct public URL, then rerun public-post-url checks.",first-batch-evidence-matrix.json,"If trigger appears, follow stop condition first, then recovery condition."
wrong_post_url_or_platform,post_url_writeback,stop,armed,"Post URL domain does not match YouTube/TikTok/Instagram platform row, or URL points to the wrong post.",Do not write back; do not reuse the URL in weekly review.,Find the correct public post URL for the platform row and rerun post text import check.,first-batch-evidence-matrix.json,"If trigger appears, follow stop condition first, then recovery condition."
paid_cta_or_affiliate_first_touch,publish_first_batch,stop,armed,"Caption/profile first action emphasizes Luna, affiliate books, paid products, or purchase before the quiz.","Do not publish, or edit immediately before public verification/writeback.",Restore the single primary CTA: complete the 15-question quiz and find the emotional guardian.,first-batch-publication-packet.json,"If trigger appears, follow stop condition first, then recovery condition."
zero_kpi_without_source,kpi_backfill,hold,armed,"site_clicks, quiz_starts, or quiz_completions is entered as 0 without a checked analytics/platform source.",Do not run weekly review and do not change commerce or content priority.,"Check analytics source, add proof note, then rerun zero KPI evidence checklist.",post-ops-readiness-pack.json,"If trigger appears, follow stop condition first, then recovery condition."
duplicate_or_wrong_slot_post,publish_first_batch,hold,armed,"Same platform receives a duplicate first-batch post, wrong script, wrong slot, or wrong guardian.",Do not write back as the planned task until operator decides keep/delete/repost.,"If keeping, document exact task mapping; if deleting/reposting, only write back the final public post URL.",first-batch-publication-packet.json,"If trigger appears, follow stop condition first, then recovery condition."
unsafe_or_crisis_comment,comment_or_lead_triage,escalate,armed,"Comment/email asks for crisis support, diagnosis, therapy replacement, or sensitive personal data handling.",Do not treat as promotion KPI or product lead.,Use safety-bounded reply; direct to appropriate emergency/local professional support where relevant.,weekly-review-packet.json,"If trigger appears, follow stop condition first, then recovery condition."
empty_data_commerce_change,weekly_review,stop,armed,"Offer order, paid CTA, Luna emphasis, affiliate emphasis, or winning guardian is changed while empty-data mode is true.",Revert the commerce/content-priority change and keep collect_signal focus.,"Wait until first-batch evidence, KPI rows, weekly review and decision gates are ready.",weekly-review-packet.json,"If trigger appears, follow stop condition first, then recovery condition."
