phase,blocker_id,scope,status,owner_action,release_condition,evidence_source,writeback_command
profile_setup,profile_link_youtube_shorts,youtube_shorts,ready_to_act,"Set the platform profile/Bio link to the listed /start/ URL, then verify the copied platform link still keeps UTM.",platform-profile-tracker.csv row is set/live with profile_link_set_date and traceable proof note.,https://lovetypes.tw/start/?utm_source=youtube&utm_medium=social_profile&utm_campaign=first_round_quiz_completion&utm_content=youtube_shorts_bio,"python3 tools/promotion_profile_text_import.py add --input docs/promotion/first-round/proof-youtube_shorts.txt --proof-note ""<REAL_SCREENSHOT_OR_PROFILE_CLICK_NOTE> verified"""
profile_setup,profile_link_tiktok,tiktok,ready_to_act,"Set the platform profile/Bio link to the listed /start/ URL, then verify the copied platform link still keeps UTM.",platform-profile-tracker.csv row is set/live with profile_link_set_date and traceable proof note.,https://lovetypes.tw/start/?utm_source=tiktok&utm_medium=social_profile&utm_campaign=first_round_quiz_completion&utm_content=tiktok_bio,"python3 tools/promotion_profile_text_import.py add --input docs/promotion/first-round/proof-tiktok.txt --proof-note ""<REAL_SCREENSHOT_OR_PROFILE_CLICK_NOTE> verified"""
profile_setup,profile_link_instagram_reels,instagram_reels,ready_to_act,"Set the platform profile/Bio link to the listed /start/ URL, then verify the copied platform link still keeps UTM.",platform-profile-tracker.csv row is set/live with profile_link_set_date and traceable proof note.,https://lovetypes.tw/start/?utm_source=instagram&utm_medium=social_profile&utm_campaign=first_round_quiz_completion&utm_content=instagram_reels_bio,"python3 tools/promotion_profile_text_import.py add --input docs/promotion/first-round/proof-instagram_reels.txt --proof-note ""<REAL_SCREENSHOT_OR_PROFILE_CLICK_NOTE> verified"""
publish_first_batch,publish_youtube_shorts_publish-lt-s01-iris-silence,youtube_shorts:publish-lt-s01-iris-silence,blocked_until_profile_links,"Publish or schedule the first-batch Shorts post with quiz-only CTA, then copy the real public post URL.","posting-queue.csv and platform-kpi-tracker.csv have status=published, published_date, and a verified HTTPS post_url.",https://lovetypes.tw/start/?utm_source=shorts&utm_medium=social&utm_campaign=first_round_quiz_completion&utm_content=iris_silence,"python3 tools/promotion_post_text_import.py add --input docs/promotion/first-round/proof-youtube_shorts-publish-lt-s01-iris-silence.txt --proof-note ""public URL and analytics source checked 2026-06-14"""
publish_first_batch,publish_tiktok_publish-lt-s01-iris-silence,tiktok:publish-lt-s01-iris-silence,blocked_until_profile_links,"Publish or schedule the first-batch Shorts post with quiz-only CTA, then copy the real public post URL.","posting-queue.csv and platform-kpi-tracker.csv have status=published, published_date, and a verified HTTPS post_url.",https://lovetypes.tw/start/?utm_source=shorts&utm_medium=social&utm_campaign=first_round_quiz_completion&utm_content=iris_silence,"python3 tools/promotion_post_text_import.py add --input docs/promotion/first-round/proof-tiktok-publish-lt-s01-iris-silence.txt --proof-note ""public URL and analytics source checked 2026-06-14"""
publish_first_batch,publish_instagram_reels_publish-lt-s01-iris-silence,instagram_reels:publish-lt-s01-iris-silence,blocked_until_profile_links,"Publish or schedule the first-batch Shorts post with quiz-only CTA, then copy the real public post URL.","posting-queue.csv and platform-kpi-tracker.csv have status=published, published_date, and a verified HTTPS post_url.",https://lovetypes.tw/start/?utm_source=shorts&utm_medium=social&utm_campaign=first_round_quiz_completion&utm_content=iris_silence,"python3 tools/promotion_post_text_import.py add --input docs/promotion/first-round/proof-instagram_reels-publish-lt-s01-iris-silence.txt --proof-note ""public URL and analytics source checked 2026-06-14"""
publish_first_batch,public_post_urls_verified,first_round,blocked_until_evidence,"Every public post URL has platform domain, public view, CTA, UTM, and proof evidence checked.",公開貼文 URL 檢查仍有 pending 或缺證據。,docs/promotion/first-round/weekly-decision-evidence-checklist.json,python3 tools/promotion_daily_ops_refresh.py
kpi_backfill,zero_kpis_have_source,first_round,blocked_until_evidence,"Zero values for site_clicks, quiz_starts, and quiz_completions have checked-source proof.",核心 KPI 仍未發布、未回填，或 0 值缺來源證據。,docs/promotion/first-round/weekly-decision-evidence-checklist.json,python3 tools/promotion_daily_ops_refresh.py
weekly_review,weekly_review_ready,first_round,blocked_until_evidence,Weekly review packet reports readyForWeeklyDecision=1.,weekly review 尚未達可決策狀態。,docs/promotion/first-round/weekly-decision-evidence-checklist.json,python3 tools/promotion_daily_ops_refresh.py
weekly_review,not_empty_data_mode,first_round,blocked_until_evidence,Empty data mode is false before commerce or prioritization decisions.,目前仍是空資料安全模式。,docs/promotion/first-round/weekly-decision-evidence-checklist.json,python3 tools/promotion_daily_ops_refresh.py
