source_type,platform,task_id,script_id,guardian_id,utm_content,metric,category,collection_status,source_url,primary_source,required_proof,zero_allowed,decision_gate,writeback_target,blocked_by
profile,youtube_shorts,profile-youtube_shorts,,,youtube_shorts_bio,profile_clicks,platform_engagement,optional_after_minimum_kpi,https://lovetypes.tw/start/?utm_source=youtube&utm_medium=social_profile&utm_campaign=first_round_quiz_completion&utm_content=youtube_shorts_bio,Platform analytics screen for the published post or profile link.,public post/profile URL plus analytics screenshot or checked proof note.,yes_after_public_source_check,route_learning,platform-profile-tracker.csv,
profile,youtube_shorts,profile-youtube_shorts,,,youtube_shorts_bio,site_clicks,site_conversion,ready_for_source_check,https://lovetypes.tw/start/?utm_source=youtube&utm_medium=social_profile&utm_campaign=first_round_quiz_completion&utm_content=youtube_shorts_bio,Website analytics or event log filtered by tracked_url / utm_content.,"post/profile URL, tracked UTM, analytics date window, and proof note.",yes_after_site_source_check,weekly_review_minimum_kpi,platform-profile-tracker.csv,
profile,youtube_shorts,profile-youtube_shorts,,,youtube_shorts_bio,quiz_starts,site_conversion,ready_for_source_check,https://lovetypes.tw/start/?utm_source=youtube&utm_medium=social_profile&utm_campaign=first_round_quiz_completion&utm_content=youtube_shorts_bio,Website analytics or event log filtered by tracked_url / utm_content.,"post/profile URL, tracked UTM, analytics date window, and proof note.",yes_after_site_source_check,weekly_review_minimum_kpi,platform-profile-tracker.csv,
profile,youtube_shorts,profile-youtube_shorts,,,youtube_shorts_bio,quiz_completions,site_conversion,ready_for_source_check,https://lovetypes.tw/start/?utm_source=youtube&utm_medium=social_profile&utm_campaign=first_round_quiz_completion&utm_content=youtube_shorts_bio,Website analytics or event log filtered by tracked_url / utm_content.,"post/profile URL, tracked UTM, analytics date window, and proof note.",yes_after_site_source_check,weekly_review_minimum_kpi,platform-profile-tracker.csv,
profile,youtube_shorts,profile-youtube_shorts,,,youtube_shorts_bio,guardian_result_clicks,route_interest,optional_after_minimum_kpi,https://lovetypes.tw/start/?utm_source=youtube&utm_medium=social_profile&utm_campaign=first_round_quiz_completion&utm_content=youtube_shorts_bio,"Website event catalog: guardian_resume_primary, guardian_resume_profile, home_resume_guardian, guide_resume_guardian, guardian_map_card",site event count or checked-zero proof note tied to the same UTM row.,yes_after_site_source_check,route_learning,platform-profile-tracker.csv,
profile,youtube_shorts,profile-youtube_shorts,,,youtube_shorts_bio,resources_clicks,route_interest,optional_after_minimum_kpi,https://lovetypes.tw/start/?utm_source=youtube&utm_medium=social_profile&utm_campaign=first_round_quiz_completion&utm_content=youtube_shorts_bio,"Website event catalog: quiz_result_supply_route, home_resume_supply_route, guardian_hero_supply_route, supply_quick_route, supply_entry_routes, home_saved_pack_link, supply_pack_link",site event count or checked-zero proof note tied to the same UTM row.,yes_after_site_source_check,route_learning,platform-profile-tracker.csv,
profile,youtube_shorts,profile-youtube_shorts,,,youtube_shorts_bio,repair_plan_clicks,route_interest,optional_after_minimum_kpi,https://lovetypes.tw/start/?utm_source=youtube&utm_medium=social_profile&utm_campaign=first_round_quiz_completion&utm_content=youtube_shorts_bio,"Website event catalog: quiz_result_repair_plan, home_resume_repair_plan, repair_resume_plan, practice_card_repair_plan",site event count or checked-zero proof note tied to the same UTM row.,yes_after_site_source_check,route_learning,platform-profile-tracker.csv,
profile,youtube_shorts,profile-youtube_shorts,,,youtube_shorts_bio,luna_clicks,route_interest,optional_after_minimum_kpi,https://lovetypes.tw/start/?utm_source=youtube&utm_medium=social_profile&utm_campaign=first_round_quiz_completion&utm_content=youtube_shorts_bio,"Website event catalog: quiz_result_luna, home_resume_luna, guardian_resume_luna, luna_offer_resources, luna_use_case_action, home_saved_pack_luna, supply_pack_luna",site event count or checked-zero proof note tied to the same UTM row.,yes_after_site_source_check,route_learning,platform-profile-tracker.csv,
profile,youtube_shorts,profile-youtube_shorts,,,youtube_shorts_bio,keepsake_clicks,route_interest,optional_after_minimum_kpi,https://lovetypes.tw/start/?utm_source=youtube&utm_medium=social_profile&utm_campaign=first_round_quiz_completion&utm_content=youtube_shorts_bio,"Website event catalog: quiz_result_keepsake, home_resume_keepsake, keepsake_resume_story_open, practice_card_supply_route",site event count or checked-zero proof note tied to the same UTM row.,yes_after_site_source_check,route_learning,platform-profile-tracker.csv,
profile,youtube_shorts,profile-youtube_shorts,,,youtube_shorts_bio,free_keepsake_downloads,route_interest,optional_after_minimum_kpi,https://lovetypes.tw/start/?utm_source=youtube&utm_medium=social_profile&utm_campaign=first_round_quiz_completion&utm_content=youtube_shorts_bio,"Website event catalog: free_keepsake_download, collector_story_download, keepsake_resume_story_download, practice_card_print, home_saved_pack_free_keepsake, supply_pack_free_keepsake",site event count or checked-zero proof note tied to the same UTM row.,yes_after_site_source_check,route_learning,platform-profile-tracker.csv,
profile,youtube_shorts,profile-youtube_shorts,,,youtube_shorts_bio,supply_lead_requests,lead_or_revenue_intent,waiting_for_real_lead_or_review,https://lovetypes.tw/start/?utm_source=youtube&utm_medium=social_profile&utm_campaign=first_round_quiz_completion&utm_content=youtube_shorts_bio,lead-intake-tracker.csv plus traceable consent/evidence; optional matching UTM attribution.,"real user request, explicit_reply_ok consent, traceable email/thread/proof note, and safe notes without raw sensitive content.",no_without_review,lead_demand_or_offer_gate,platform-profile-tracker.csv,
profile,youtube_shorts,profile-youtube_shorts,,,youtube_shorts_bio,luna_pack_clicks,lead_or_revenue_intent,waiting_for_real_lead_or_review,https://lovetypes.tw/start/?utm_source=youtube&utm_medium=social_profile&utm_campaign=first_round_quiz_completion&utm_content=youtube_shorts_bio,lead-intake-tracker.csv plus traceable consent/evidence; optional matching UTM attribution.,"real user request, explicit_reply_ok consent, traceable email/thread/proof note, and safe notes without raw sensitive content.",no_without_review,lead_demand_or_offer_gate,platform-profile-tracker.csv,
profile,youtube_shorts,profile-youtube_shorts,,,youtube_shorts_bio,affiliate_book_clicks,route_interest,optional_after_minimum_kpi,https://lovetypes.tw/start/?utm_source=youtube&utm_medium=social_profile&utm_campaign=first_round_quiz_completion&utm_content=youtube_shorts_bio,"Website event catalog: supply_route_affiliate_book, quiz_result_affiliate_book, repair_guardian_affiliate_book, repair_resume_affiliate_book",site event count or checked-zero proof note tied to the same UTM row.,yes_after_site_source_check,route_learning,platform-profile-tracker.csv,
profile,youtube_shorts,profile-youtube_shorts,,,youtube_shorts_bio,contact_requests,lead_or_revenue_intent,waiting_for_real_lead_or_review,https://lovetypes.tw/start/?utm_source=youtube&utm_medium=social_profile&utm_campaign=first_round_quiz_completion&utm_content=youtube_shorts_bio,lead-intake-tracker.csv plus traceable consent/evidence; optional matching UTM attribution.,"real user request, explicit_reply_ok consent, traceable email/thread/proof note, and safe notes without raw sensitive content.",no_without_review,lead_demand_or_offer_gate,platform-profile-tracker.csv,
