week,slot,platform,status,scheduled_date,scheduled_time,timezone,published_date,post_url,task_id,script_id,guardian_id,guardian_name,content_angle,title,caption,tracked_url,utm_content,primary_cta,hashtags,notes
1,1,youtube_shorts,planned,2026-06-15,20:30,Asia/Taipei,,,publish-lt-s01-iris-silence,lt-s01-iris-silence,iris,艾莉絲,情感錯頻情境,他沉默時，你最想聽見哪一句話？,"你不是想聽甜言蜜語，你只是想確認自己有沒有被看見。

Take the 15-question quiz to find your emotional guardian: https://lovetypes.tw/start/?utm_source=shorts&utm_medium=social&utm_campaign=first_round_quiz_completion&utm_content=iris_silence

留言 A/B/C，或寫下一句你最想被說出口的話。
#LoveLanguages #RelationshipQuiz #EmotionalGuardian #HeartLanguage #LoveTypes",https://lovetypes.tw/start/?utm_source=shorts&utm_medium=social&utm_campaign=first_round_quiz_completion&utm_content=iris_silence,iris_silence,完成 15 題測驗，找到你的情感守護者,#LoveLanguages #RelationshipQuiz #EmotionalGuardian #HeartLanguage #LoveTypes,第一支先測「沉默/已讀」痛點
1,2,youtube_shorts,planned,2026-06-17,20:30,Asia/Taipei,,,publish-lt-s02-iris-affirmation,lt-s02-iris-affirmation,iris,艾莉絲,守護者人格認同,哪一句肯定，會讓你瞬間安心？,"真正的肯定，不是把你說得完美，而是讓你知道自己被看見。

Take the 15-question quiz to find your emotional guardian: https://lovetypes.tw/start/?utm_source=shorts&utm_medium=social&utm_campaign=first_round_quiz_completion&utm_content=iris_affirmation

留言你選的句子，艾莉絲會把它收進晨曦玻璃花園。
#LoveLanguages #RelationshipQuiz #EmotionalGuardian #HeartLanguage #LoveTypes",https://lovetypes.tw/start/?utm_source=shorts&utm_medium=social&utm_campaign=first_round_quiz_completion&utm_content=iris_affirmation,iris_affirmation,完成 15 題測驗，找到你的情感守護者,#LoveLanguages #RelationshipQuiz #EmotionalGuardian #HeartLanguage #LoveTypes,留言引導收集想被聽見的句子
1,3,youtube_shorts,planned,2026-06-19,20:30,Asia/Taipei,,,publish-lt-s03-iris-too-sensitive,lt-s03-iris-too-sensitive,iris,艾莉絲,測驗入口,你真的太敏感嗎？還是你只是等一句清楚的話？,"有時候你不是太敏感，你只是一直在替沉默找理由。

Take the 15-question quiz to find your emotional guardian: https://lovetypes.tw/start/?utm_source=shorts&utm_medium=social&utm_campaign=first_round_quiz_completion&utm_content=iris_too_sensitive

留言「我想被清楚回應」，或選 A：等話、B：等行動、C：等陪伴。
#LoveLanguages #RelationshipQuiz #EmotionalGuardian #HeartLanguage #LoveTypes",https://lovetypes.tw/start/?utm_source=shorts&utm_medium=social&utm_campaign=first_round_quiz_completion&utm_content=iris_too_sensitive,iris_too_sensitive,完成 15 題測驗，找到你的情感守護者,#LoveLanguages #RelationshipQuiz #EmotionalGuardian #HeartLanguage #LoveTypes,導向肯定言詞測驗動機
2,1,youtube_shorts,planned,2026-06-22,20:30,Asia/Taipei,,,publish-lt-s04-noah-phone,lt-s04-noah-phone,noah,諾雅,情感錯頻情境,約會時他一直看手機，你真正難過的是什麼？,"你不是要他每分每秒陪你，你只是希望他在的時候真的在。

Take the 15-question quiz to find your emotional guardian: https://lovetypes.tw/start/?utm_source=shorts&utm_medium=social&utm_campaign=first_round_quiz_completion&utm_content=noah_phone

留言 A/B/C，你最不能接受哪一種不在場？
#LoveLanguages #RelationshipQuiz #EmotionalGuardian #HeartLanguage #LoveTypes",https://lovetypes.tw/start/?utm_source=shorts&utm_medium=social&utm_campaign=first_round_quiz_completion&utm_content=noah_phone,noah_phone,完成 15 題測驗，找到你的情感守護者,#LoveLanguages #RelationshipQuiz #EmotionalGuardian #HeartLanguage #LoveTypes,測試約會分心共鳴
2,2,youtube_shorts,planned,2026-06-24,20:30,Asia/Taipei,,,publish-lt-s05-noah-cancel,lt-s05-noah-cancel,noah,諾雅,守護者人格認同,約定一再被取消，你會怎麼保護自己？,"每一次被延後，都像星海裡少了一盞燈。

Take the 15-question quiz to find your emotional guardian: https://lovetypes.tw/start/?utm_source=shorts&utm_medium=social&utm_campaign=first_round_quiz_completion&utm_content=noah_cancel

留言 A/B/C，諾雅會替你留下一盞還沒熄掉的燈。
#LoveLanguages #RelationshipQuiz #EmotionalGuardian #HeartLanguage #LoveTypes",https://lovetypes.tw/start/?utm_source=shorts&utm_medium=social&utm_campaign=first_round_quiz_completion&utm_content=noah_cancel,noah_cancel,完成 15 題測驗，找到你的情感守護者,#LoveLanguages #RelationshipQuiz #EmotionalGuardian #HeartLanguage #LoveTypes,適合遠距/忙碌受眾
2,3,youtube_shorts,planned,2026-06-26,20:30,Asia/Taipei,,,publish-lt-s06-noah-quiet-time,lt-s06-noah-quiet-time,noah,諾雅,測驗入口,你最想被怎樣陪伴？,"有些人要的不是熱鬧，而是一段不被打斷的在場。

Take the 15-question quiz to find your emotional guardian: https://lovetypes.tw/start/?utm_source=shorts&utm_medium=social&utm_campaign=first_round_quiz_completion&utm_content=noah_quiet_time

留言你的選項，或寫下你最想被陪伴的 15 分鐘。
#LoveLanguages #RelationshipQuiz #EmotionalGuardian #HeartLanguage #LoveTypes",https://lovetypes.tw/start/?utm_source=shorts&utm_medium=social&utm_campaign=first_round_quiz_completion&utm_content=noah_quiet_time,noah_quiet_time,完成 15 題測驗，找到你的情感守護者,#LoveLanguages #RelationshipQuiz #EmotionalGuardian #HeartLanguage #LoveTypes,強化 15 分鐘陪伴概念
3,1,youtube_shorts,planned,2026-06-29,20:30,Asia/Taipei,,,publish-lt-s07-vivian-remembered,lt-s07-vivian-remembered,vivian,薇薇安,情感錯頻情境,你在乎的真的是禮物嗎？,"你不是物質，你只是想知道自己有沒有被放在心上。

Take the 15-question quiz to find your emotional guardian: https://lovetypes.tw/start/?utm_source=shorts&utm_medium=social&utm_campaign=first_round_quiz_completion&utm_content=vivian_remembered

留言 A/B/C，哪一種小心意最能打動你？
#LoveLanguages #RelationshipQuiz #EmotionalGuardian #HeartLanguage #LoveTypes",https://lovetypes.tw/start/?utm_source=shorts&utm_medium=social&utm_campaign=first_round_quiz_completion&utm_content=vivian_remembered,vivian_remembered,完成 15 題測驗，找到你的情感守護者,#LoveLanguages #RelationshipQuiz #EmotionalGuardian #HeartLanguage #LoveTypes,釐清禮物不等於物質
3,2,youtube_shorts,planned,2026-07-01,20:30,Asia/Taipei,,,publish-lt-s08-vivian-forgotten-date,lt-s08-vivian-forgotten-date,vivian,薇薇安,守護者人格認同,重要日子被忘記，你最痛的是哪裡？,"那一天不是日期而已，是你想確認自己有沒有被記得。

Take the 15-question quiz to find your emotional guardian: https://lovetypes.tw/start/?utm_source=shorts&utm_medium=social&utm_campaign=first_round_quiz_completion&utm_content=vivian_forgotten_date

留言 A/B/C，或寫下一個你希望被記得的日子。
#LoveLanguages #RelationshipQuiz #EmotionalGuardian #HeartLanguage #LoveTypes",https://lovetypes.tw/start/?utm_source=shorts&utm_medium=social&utm_campaign=first_round_quiz_completion&utm_content=vivian_forgotten_date,vivian_forgotten_date,完成 15 題測驗，找到你的情感守護者,#LoveLanguages #RelationshipQuiz #EmotionalGuardian #HeartLanguage #LoveTypes,節日/紀念日題材可配合日期
3,3,youtube_shorts,planned,2026-07-03,20:30,Asia/Taipei,,,publish-lt-s09-vivian-ritual,lt-s09-vivian-ritual,vivian,薇薇安,測驗入口,你的戀愛儀式感是哪一種？,"有些人把愛藏在細節裡，等你發現自己被記得。

Take the 15-question quiz to find your emotional guardian: https://lovetypes.tw/start/?utm_source=shorts&utm_medium=social&utm_campaign=first_round_quiz_completion&utm_content=vivian_ritual

留言 A/B/C，薇薇安會替你把那份心意歸檔。
#LoveLanguages #RelationshipQuiz #EmotionalGuardian #HeartLanguage #LoveTypes",https://lovetypes.tw/start/?utm_source=shorts&utm_medium=social&utm_campaign=first_round_quiz_completion&utm_content=vivian_ritual,vivian_ritual,完成 15 題測驗，找到你的情感守護者,#LoveLanguages #RelationshipQuiz #EmotionalGuardian #HeartLanguage #LoveTypes,引導留言心意收藏
4,1,youtube_shorts,planned,2026-07-06,20:30,Asia/Taipei,,,publish-lt-s10-claire-tired,lt-s10-claire-tired,claire,克萊兒,情感錯頻情境,你不是愛計較，你只是太久沒人主動幫你,"如果每一次都是你收拾，那不是成熟，是失衡。

Take the 15-question quiz to find your emotional guardian: https://lovetypes.tw/start/?utm_source=shorts&utm_medium=social&utm_campaign=first_round_quiz_completion&utm_content=claire_tired

留言 A/B/C，你最希望有人替你分擔哪一件事？
#LoveLanguages #RelationshipQuiz #EmotionalGuardian #HeartLanguage #LoveTypes",https://lovetypes.tw/start/?utm_source=shorts&utm_medium=social&utm_campaign=first_round_quiz_completion&utm_content=claire_tired,claire_tired,完成 15 題測驗，找到你的情感守護者,#LoveLanguages #RelationshipQuiz #EmotionalGuardian #HeartLanguage #LoveTypes,照顧者疲憊痛點
