guardian,guardianName,intakeType,source,templatePath,checkCommand,writeCommand,requiredEvidence
iris,艾莉絲,owned_asset_request,keepsake_waitlist,docs/promotion/first-round/lead-request-proof-templates/lead-iris-owned_asset_request.txt,python3 tools/promotion_lead_text_import.py check --input docs/promotion/first-round/lead-request-proof-templates/lead-iris-owned_asset_request.txt,"python3 tools/promotion_lead_text_import.py add --input docs/promotion/first-round/lead-request-proof-templates/lead-iris-owned_asset_request.txt --proof-note ""email thread iris-owned_asset_request request checked 2026-06-27""","real reply email, explicit_reply_ok consent, safe non-emergency scope, proof note, no raw email stored in tracker"
iris,艾莉絲,luna_scene_request,luna_page,docs/promotion/first-round/lead-request-proof-templates/lead-iris-luna_scene_request.txt,python3 tools/promotion_lead_text_import.py check --input docs/promotion/first-round/lead-request-proof-templates/lead-iris-luna_scene_request.txt,"python3 tools/promotion_lead_text_import.py add --input docs/promotion/first-round/lead-request-proof-templates/lead-iris-luna_scene_request.txt --proof-note ""email thread iris-luna_scene_request request checked 2026-06-27""","real reply email, explicit_reply_ok consent, safe non-emergency scope, proof note, no raw email stored in tracker"
iris,艾莉絲,repair_or_contact_request,contact,docs/promotion/first-round/lead-request-proof-templates/lead-iris-repair_or_contact_request.txt,python3 tools/promotion_lead_text_import.py check --input docs/promotion/first-round/lead-request-proof-templates/lead-iris-repair_or_contact_request.txt,"python3 tools/promotion_lead_text_import.py add --input docs/promotion/first-round/lead-request-proof-templates/lead-iris-repair_or_contact_request.txt --proof-note ""email thread iris-repair_or_contact_request request checked 2026-06-27""","real reply email, explicit_reply_ok consent, safe non-emergency scope, proof note, no raw email stored in tracker"
noah,諾雅,owned_asset_request,keepsake_waitlist,docs/promotion/first-round/lead-request-proof-templates/lead-noah-owned_asset_request.txt,python3 tools/promotion_lead_text_import.py check --input docs/promotion/first-round/lead-request-proof-templates/lead-noah-owned_asset_request.txt,"python3 tools/promotion_lead_text_import.py add --input docs/promotion/first-round/lead-request-proof-templates/lead-noah-owned_asset_request.txt --proof-note ""email thread noah-owned_asset_request request checked 2026-06-27""","real reply email, explicit_reply_ok consent, safe non-emergency scope, proof note, no raw email stored in tracker"
noah,諾雅,luna_scene_request,luna_page,docs/promotion/first-round/lead-request-proof-templates/lead-noah-luna_scene_request.txt,python3 tools/promotion_lead_text_import.py check --input docs/promotion/first-round/lead-request-proof-templates/lead-noah-luna_scene_request.txt,"python3 tools/promotion_lead_text_import.py add --input docs/promotion/first-round/lead-request-proof-templates/lead-noah-luna_scene_request.txt --proof-note ""email thread noah-luna_scene_request request checked 2026-06-27""","real reply email, explicit_reply_ok consent, safe non-emergency scope, proof note, no raw email stored in tracker"
noah,諾雅,repair_or_contact_request,contact,docs/promotion/first-round/lead-request-proof-templates/lead-noah-repair_or_contact_request.txt,python3 tools/promotion_lead_text_import.py check --input docs/promotion/first-round/lead-request-proof-templates/lead-noah-repair_or_contact_request.txt,"python3 tools/promotion_lead_text_import.py add --input docs/promotion/first-round/lead-request-proof-templates/lead-noah-repair_or_contact_request.txt --proof-note ""email thread noah-repair_or_contact_request request checked 2026-06-27""","real reply email, explicit_reply_ok consent, safe non-emergency scope, proof note, no raw email stored in tracker"
vivian,薇薇安,owned_asset_request,keepsake_waitlist,docs/promotion/first-round/lead-request-proof-templates/lead-vivian-owned_asset_request.txt,python3 tools/promotion_lead_text_import.py check --input docs/promotion/first-round/lead-request-proof-templates/lead-vivian-owned_asset_request.txt,"python3 tools/promotion_lead_text_import.py add --input docs/promotion/first-round/lead-request-proof-templates/lead-vivian-owned_asset_request.txt --proof-note ""email thread vivian-owned_asset_request request checked 2026-06-27""","real reply email, explicit_reply_ok consent, safe non-emergency scope, proof note, no raw email stored in tracker"
vivian,薇薇安,luna_scene_request,luna_page,docs/promotion/first-round/lead-request-proof-templates/lead-vivian-luna_scene_request.txt,python3 tools/promotion_lead_text_import.py check --input docs/promotion/first-round/lead-request-proof-templates/lead-vivian-luna_scene_request.txt,"python3 tools/promotion_lead_text_import.py add --input docs/promotion/first-round/lead-request-proof-templates/lead-vivian-luna_scene_request.txt --proof-note ""email thread vivian-luna_scene_request request checked 2026-06-27""","real reply email, explicit_reply_ok consent, safe non-emergency scope, proof note, no raw email stored in tracker"
vivian,薇薇安,repair_or_contact_request,contact,docs/promotion/first-round/lead-request-proof-templates/lead-vivian-repair_or_contact_request.txt,python3 tools/promotion_lead_text_import.py check --input docs/promotion/first-round/lead-request-proof-templates/lead-vivian-repair_or_contact_request.txt,"python3 tools/promotion_lead_text_import.py add --input docs/promotion/first-round/lead-request-proof-templates/lead-vivian-repair_or_contact_request.txt --proof-note ""email thread vivian-repair_or_contact_request request checked 2026-06-27""","real reply email, explicit_reply_ok consent, safe non-emergency scope, proof note, no raw email stored in tracker"
claire,克萊兒,owned_asset_request,keepsake_waitlist,docs/promotion/first-round/lead-request-proof-templates/lead-claire-owned_asset_request.txt,python3 tools/promotion_lead_text_import.py check --input docs/promotion/first-round/lead-request-proof-templates/lead-claire-owned_asset_request.txt,"python3 tools/promotion_lead_text_import.py add --input docs/promotion/first-round/lead-request-proof-templates/lead-claire-owned_asset_request.txt --proof-note ""email thread claire-owned_asset_request request checked 2026-06-27""","real reply email, explicit_reply_ok consent, safe non-emergency scope, proof note, no raw email stored in tracker"
