assetId,guardianId,guardianName,assetType,priority,targetUrl,fulfillmentStatus,evidence,stopCondition,safetyBoundary
iris-free_story_card_upgrade,iris,艾莉絲,free_story_card_upgrade,later,https://lovetypes.tw/keepsakes/#keepsake-iris,public_free_ready,Existing keepsake story card and practice-card route are present across all languages.,Do not treat saves/downloads as demand until tracked externally.,不承諾療效，不替代諮商，不把短影片 CTA 改成直接購買。
iris-pdf_practice_card,iris,艾莉絲,pdf_practice_card,later,https://lovetypes.tw/keepsakes/#keepsake-iris,blocked_until_real_request,Owned assets require at least one traceable request for this specific asset type.,Wait for lead-intake-tracker.csv evidence before building or sending.,不承諾療效，不替代諮商，不把短影片 CTA 改成直接購買。
iris-phone_wallpaper,iris,艾莉絲,phone_wallpaper,later,https://lovetypes.tw/keepsakes/#keepsake-iris,blocked_until_real_request,Owned assets require at least one traceable request for this specific asset type.,Wait for lead-intake-tracker.csv evidence before building or sending.,不承諾療效，不替代諮商，不把短影片 CTA 改成直接購買。
iris-email_lead_template,iris,艾莉絲,email_lead_template,later,https://lovetypes.tw/contact/#luna-supply-request,blocked_until_real_request,Owned assets require at least one traceable request for this specific asset type.,Wait for lead-intake-tracker.csv evidence before building or sending.,不承諾療效，不替代諮商，不把短影片 CTA 改成直接購買。
iris-short_ritual,iris,艾莉絲,short_ritual,later,https://lovetypes.tw/repair-plan/#plan-iris,blocked_until_real_request,Owned assets require at least one traceable request for this specific asset type.,Wait for lead-intake-tracker.csv evidence before building or sending.,不承諾療效，不替代諮商，不把短影片 CTA 改成直接購買。
iris-luna_scene_cta,iris,艾莉絲,luna_scene_cta,later,https://lovetypes.tw/luna-yoga-music/#luna-iris,blocked_until_offer_ready,Commercial or Luna assets require a READY offer experiment.,Keep Luna/affiliate as secondary routes until KPI evidence is non-empty.,不承諾療效，不替代諮商，不把短影片 CTA 改成直接購買。
iris-affiliate_book_bundle,iris,艾莉絲,affiliate_book_bundle,later,https://lovetypes.tw/resources/#supply-iris,blocked_until_offer_ready,Commercial or Luna assets require a READY offer experiment.,Keep Luna/affiliate as secondary routes until KPI evidence is non-empty.,不承諾療效，不替代諮商，不把短影片 CTA 改成直接購買。
iris-content_variant,iris,艾莉絲,content_variant,now,https://lovetypes.tw/start/,ready_to_prepare,Content variants can be prepared in empty-data mode as long as the Shorts CTA stays focused on the quiz.,Do not publish as a winning variant until KPI rows exist.,不承諾療效，不替代諮商，不把短影片 CTA 改成直接購買。
noah-free_story_card_upgrade,noah,諾雅,free_story_card_upgrade,later,https://lovetypes.tw/keepsakes/#keepsake-noah,public_free_ready,Existing keepsake story card and practice-card route are present across all languages.,Do not treat saves/downloads as demand until tracked externally.,不承諾療效，不替代諮商，不把短影片 CTA 改成直接購買。
noah-pdf_practice_card,noah,諾雅,pdf_practice_card,later,https://lovetypes.tw/keepsakes/#keepsake-noah,blocked_until_real_request,Owned assets require at least one traceable request for this specific asset type.,Wait for lead-intake-tracker.csv evidence before building or sending.,不承諾療效，不替代諮商，不把短影片 CTA 改成直接購買。
noah-phone_wallpaper,noah,諾雅,phone_wallpaper,later,https://lovetypes.tw/keepsakes/#keepsake-noah,blocked_until_real_request,Owned assets require at least one traceable request for this specific asset type.,Wait for lead-intake-tracker.csv evidence before building or sending.,不承諾療效，不替代諮商，不把短影片 CTA 改成直接購買。
noah-email_lead_template,noah,諾雅,email_lead_template,later,https://lovetypes.tw/contact/#luna-supply-request,blocked_until_real_request,Owned assets require at least one traceable request for this specific asset type.,Wait for lead-intake-tracker.csv evidence before building or sending.,不承諾療效，不替代諮商，不把短影片 CTA 改成直接購買。
noah-short_ritual,noah,諾雅,short_ritual,later,https://lovetypes.tw/repair-plan/#plan-noah,blocked_until_real_request,Owned assets require at least one traceable request for this specific asset type.,Wait for lead-intake-tracker.csv evidence before building or sending.,不承諾療效，不替代諮商，不把短影片 CTA 改成直接購買。
noah-luna_scene_cta,noah,諾雅,luna_scene_cta,later,https://lovetypes.tw/luna-yoga-music/#luna-noah,blocked_until_offer_ready,Commercial or Luna assets require a READY offer experiment.,Keep Luna/affiliate as secondary routes until KPI evidence is non-empty.,不承諾療效，不替代諮商，不把短影片 CTA 改成直接購買。
noah-affiliate_book_bundle,noah,諾雅,affiliate_book_bundle,later,https://lovetypes.tw/resources/#supply-noah,blocked_until_offer_ready,Commercial or Luna assets require a READY offer experiment.,Keep Luna/affiliate as secondary routes until KPI evidence is non-empty.,不承諾療效，不替代諮商，不把短影片 CTA 改成直接購買。
noah-content_variant,noah,諾雅,content_variant,now,https://lovetypes.tw/start/,ready_to_prepare,Content variants can be prepared in empty-data mode as long as the Shorts CTA stays focused on the quiz.,Do not publish as a winning variant until KPI rows exist.,不承諾療效，不替代諮商，不把短影片 CTA 改成直接購買。
vivian-free_story_card_upgrade,vivian,薇薇安,free_story_card_upgrade,later,https://lovetypes.tw/keepsakes/#keepsake-vivian,public_free_ready,Existing keepsake story card and practice-card route are present across all languages.,Do not treat saves/downloads as demand until tracked externally.,不承諾療效，不替代諮商，不把短影片 CTA 改成直接購買。
vivian-pdf_practice_card,vivian,薇薇安,pdf_practice_card,later,https://lovetypes.tw/keepsakes/#keepsake-vivian,blocked_until_real_request,Owned assets require at least one traceable request for this specific asset type.,Wait for lead-intake-tracker.csv evidence before building or sending.,不承諾療效，不替代諮商，不把短影片 CTA 改成直接購買。
vivian-phone_wallpaper,vivian,薇薇安,phone_wallpaper,later,https://lovetypes.tw/keepsakes/#keepsake-vivian,blocked_until_real_request,Owned assets require at least one traceable request for this specific asset type.,Wait for lead-intake-tracker.csv evidence before building or sending.,不承諾療效，不替代諮商，不把短影片 CTA 改成直接購買。
vivian-email_lead_template,vivian,薇薇安,email_lead_template,later,https://lovetypes.tw/contact/#luna-supply-request,blocked_until_real_request,Owned assets require at least one traceable request for this specific asset type.,Wait for lead-intake-tracker.csv evidence before building or sending.,不承諾療效，不替代諮商，不把短影片 CTA 改成直接購買。
vivian-short_ritual,vivian,薇薇安,short_ritual,later,https://lovetypes.tw/repair-plan/#plan-vivian,blocked_until_real_request,Owned assets require at least one traceable request for this specific asset type.,Wait for lead-intake-tracker.csv evidence before building or sending.,不承諾療效，不替代諮商，不把短影片 CTA 改成直接購買。
vivian-luna_scene_cta,vivian,薇薇安,luna_scene_cta,later,https://lovetypes.tw/luna-yoga-music/#luna-vivian,blocked_until_offer_ready,Commercial or Luna assets require a READY offer experiment.,Keep Luna/affiliate as secondary routes until KPI evidence is non-empty.,不承諾療效，不替代諮商，不把短影片 CTA 改成直接購買。
vivian-affiliate_book_bundle,vivian,薇薇安,affiliate_book_bundle,later,https://lovetypes.tw/resources/#supply-vivian,blocked_until_offer_ready,Commercial or Luna assets require a READY offer experiment.,Keep Luna/affiliate as secondary routes until KPI evidence is non-empty.,不承諾療效，不替代諮商，不把短影片 CTA 改成直接購買。
vivian-content_variant,vivian,薇薇安,content_variant,now,https://lovetypes.tw/start/,ready_to_prepare,Content variants can be prepared in empty-data mode as long as the Shorts CTA stays focused on the quiz.,Do not publish as a winning variant until KPI rows exist.,不承諾療效，不替代諮商，不把短影片 CTA 改成直接購買。
claire-free_story_card_upgrade,claire,克萊兒,free_story_card_upgrade,later,https://lovetypes.tw/keepsakes/#keepsake-claire,public_free_ready,Existing keepsake story card and practice-card route are present across all languages.,Do not treat saves/downloads as demand until tracked externally.,不承諾療效，不替代諮商，不把短影片 CTA 改成直接購買。
claire-pdf_practice_card,claire,克萊兒,pdf_practice_card,later,https://lovetypes.tw/keepsakes/#keepsake-claire,blocked_until_real_request,Owned assets require at least one traceable request for this specific asset type.,Wait for lead-intake-tracker.csv evidence before building or sending.,不承諾療效，不替代諮商，不把短影片 CTA 改成直接購買。
claire-phone_wallpaper,claire,克萊兒,phone_wallpaper,later,https://lovetypes.tw/keepsakes/#keepsake-claire,blocked_until_real_request,Owned assets require at least one traceable request for this specific asset type.,Wait for lead-intake-tracker.csv evidence before building or sending.,不承諾療效，不替代諮商，不把短影片 CTA 改成直接購買。
