guardian_id,guardian_name,script_id,backlog_item_id,step_id,step_name,status,owner,due_date,title,tracked_url,output_file,notes
iris,艾莉絲,iris-now-content-variant-01,iris-content_variant,script_review,腳本審核,planned,,,你等的不是秒回，是一句清楚的在乎,https://lovetypes.tw/start/?utm_source=shorts&utm_medium=social&utm_campaign=first_round_quiz_completion&utm_content=iris_silence,,確認 Hook、字幕、留言引導與安全邊界。
iris,艾莉絲,iris-now-content-variant-01,iris-content_variant,visual_prompt,畫面提示整理,planned,,,你等的不是秒回，是一句清楚的在乎,https://lovetypes.tw/start/?utm_source=shorts&utm_medium=social&utm_campaign=first_round_quiz_completion&utm_content=iris_silence,,把畫面建議整理成可交給生成或剪輯的鏡頭提示。
iris,艾莉絲,iris-now-content-variant-01,iris-content_variant,asset_collection,素材收集,planned,,,你等的不是秒回，是一句清楚的在乎,https://lovetypes.tw/start/?utm_source=shorts&utm_medium=social&utm_campaign=first_round_quiz_completion&utm_content=iris_silence,,確認守護者圖、背景、字卡、音樂或素材來源。
iris,艾莉絲,iris-now-content-variant-01,iris-content_variant,edit_cut,剪輯製作,planned,,,你等的不是秒回，是一句清楚的在乎,https://lovetypes.tw/start/?utm_source=shorts&utm_medium=social&utm_campaign=first_round_quiz_completion&utm_content=iris_silence,exports/lovetypes/iris/iris-now-content-variant-01.mp4,完成 20-30 秒直式短片初版。
iris,艾莉絲,iris-now-content-variant-01,iris-content_variant,subtitle_qa,字幕 QA,planned,,,你等的不是秒回，是一句清楚的在乎,https://lovetypes.tw/start/?utm_source=shorts&utm_medium=social&utm_campaign=first_round_quiz_completion&utm_content=iris_silence,,確認字幕短句、無錯字、手機可讀。
iris,艾莉絲,iris-now-content-variant-01,iris-content_variant,safety_qa,安全邊界 QA,planned,,,你等的不是秒回，是一句清楚的在乎,https://lovetypes.tw/start/?utm_source=shorts&utm_medium=social&utm_campaign=first_round_quiz_completion&utm_content=iris_silence,,確認無診斷、療效、保證修復或必須購買說法。
iris,艾莉絲,iris-now-content-variant-01,iris-content_variant,schedule_publish,排程發布,planned,,,你等的不是秒回，是一句清楚的在乎,https://lovetypes.tw/start/?utm_source=shorts&utm_medium=social&utm_campaign=first_round_quiz_completion&utm_content=iris_silence,,依平台發布簡報排程上片或排程。
iris,艾莉絲,iris-now-content-variant-01,iris-content_variant,kpi_backfill,KPI 回填,planned,,,你等的不是秒回，是一句清楚的在乎,https://lovetypes.tw/start/?utm_source=shorts&utm_medium=social&utm_campaign=first_round_quiz_completion&utm_content=iris_silence,,發布後回填 posting-queue.csv 與 platform-kpi-tracker.csv；週回顧才彙總 kpi-tracker.csv。
noah,諾雅,noah-now-content-variant-01,noah-content_variant,script_review,腳本審核,planned,,,他人在你旁邊，心卻像不在場,https://lovetypes.tw/start/?utm_source=shorts&utm_medium=social&utm_campaign=first_round_quiz_completion&utm_content=noah_phone,,確認 Hook、字幕、留言引導與安全邊界。
noah,諾雅,noah-now-content-variant-01,noah-content_variant,visual_prompt,畫面提示整理,planned,,,他人在你旁邊，心卻像不在場,https://lovetypes.tw/start/?utm_source=shorts&utm_medium=social&utm_campaign=first_round_quiz_completion&utm_content=noah_phone,,把畫面建議整理成可交給生成或剪輯的鏡頭提示。
noah,諾雅,noah-now-content-variant-01,noah-content_variant,asset_collection,素材收集,planned,,,他人在你旁邊，心卻像不在場,https://lovetypes.tw/start/?utm_source=shorts&utm_medium=social&utm_campaign=first_round_quiz_completion&utm_content=noah_phone,,確認守護者圖、背景、字卡、音樂或素材來源。
noah,諾雅,noah-now-content-variant-01,noah-content_variant,edit_cut,剪輯製作,planned,,,他人在你旁邊，心卻像不在場,https://lovetypes.tw/start/?utm_source=shorts&utm_medium=social&utm_campaign=first_round_quiz_completion&utm_content=noah_phone,exports/lovetypes/noah/noah-now-content-variant-01.mp4,完成 20-30 秒直式短片初版。
noah,諾雅,noah-now-content-variant-01,noah-content_variant,subtitle_qa,字幕 QA,planned,,,他人在你旁邊，心卻像不在場,https://lovetypes.tw/start/?utm_source=shorts&utm_medium=social&utm_campaign=first_round_quiz_completion&utm_content=noah_phone,,確認字幕短句、無錯字、手機可讀。
noah,諾雅,noah-now-content-variant-01,noah-content_variant,safety_qa,安全邊界 QA,planned,,,他人在你旁邊，心卻像不在場,https://lovetypes.tw/start/?utm_source=shorts&utm_medium=social&utm_campaign=first_round_quiz_completion&utm_content=noah_phone,,確認無診斷、療效、保證修復或必須購買說法。
noah,諾雅,noah-now-content-variant-01,noah-content_variant,schedule_publish,排程發布,planned,,,他人在你旁邊，心卻像不在場,https://lovetypes.tw/start/?utm_source=shorts&utm_medium=social&utm_campaign=first_round_quiz_completion&utm_content=noah_phone,,依平台發布簡報排程上片或排程。
noah,諾雅,noah-now-content-variant-01,noah-content_variant,kpi_backfill,KPI 回填,planned,,,他人在你旁邊，心卻像不在場,https://lovetypes.tw/start/?utm_source=shorts&utm_medium=social&utm_campaign=first_round_quiz_completion&utm_content=noah_phone,,發布後回填 posting-queue.csv 與 platform-kpi-tracker.csv；週回顧才彙總 kpi-tracker.csv。
vivian,薇薇安,vivian-now-content-variant-01,vivian-content_variant,script_review,腳本審核,planned,,,你不是想要禮物，你想知道自己有沒有被記得,https://lovetypes.tw/start/?utm_source=shorts&utm_medium=social&utm_campaign=first_round_quiz_completion&utm_content=vivian_remembered,,確認 Hook、字幕、留言引導與安全邊界。
vivian,薇薇安,vivian-now-content-variant-01,vivian-content_variant,visual_prompt,畫面提示整理,planned,,,你不是想要禮物，你想知道自己有沒有被記得,https://lovetypes.tw/start/?utm_source=shorts&utm_medium=social&utm_campaign=first_round_quiz_completion&utm_content=vivian_remembered,,把畫面建議整理成可交給生成或剪輯的鏡頭提示。
vivian,薇薇安,vivian-now-content-variant-01,vivian-content_variant,asset_collection,素材收集,planned,,,你不是想要禮物，你想知道自己有沒有被記得,https://lovetypes.tw/start/?utm_source=shorts&utm_medium=social&utm_campaign=first_round_quiz_completion&utm_content=vivian_remembered,,確認守護者圖、背景、字卡、音樂或素材來源。
vivian,薇薇安,vivian-now-content-variant-01,vivian-content_variant,edit_cut,剪輯製作,planned,,,你不是想要禮物，你想知道自己有沒有被記得,https://lovetypes.tw/start/?utm_source=shorts&utm_medium=social&utm_campaign=first_round_quiz_completion&utm_content=vivian_remembered,exports/lovetypes/vivian/vivian-now-content-variant-01.mp4,完成 20-30 秒直式短片初版。
vivian,薇薇安,vivian-now-content-variant-01,vivian-content_variant,subtitle_qa,字幕 QA,planned,,,你不是想要禮物，你想知道自己有沒有被記得,https://lovetypes.tw/start/?utm_source=shorts&utm_medium=social&utm_campaign=first_round_quiz_completion&utm_content=vivian_remembered,,確認字幕短句、無錯字、手機可讀。
vivian,薇薇安,vivian-now-content-variant-01,vivian-content_variant,safety_qa,安全邊界 QA,planned,,,你不是想要禮物，你想知道自己有沒有被記得,https://lovetypes.tw/start/?utm_source=shorts&utm_medium=social&utm_campaign=first_round_quiz_completion&utm_content=vivian_remembered,,確認無診斷、療效、保證修復或必須購買說法。
vivian,薇薇安,vivian-now-content-variant-01,vivian-content_variant,schedule_publish,排程發布,planned,,,你不是想要禮物，你想知道自己有沒有被記得,https://lovetypes.tw/start/?utm_source=shorts&utm_medium=social&utm_campaign=first_round_quiz_completion&utm_content=vivian_remembered,,依平台發布簡報排程上片或排程。
vivian,薇薇安,vivian-now-content-variant-01,vivian-content_variant,kpi_backfill,KPI 回填,planned,,,你不是想要禮物，你想知道自己有沒有被記得,https://lovetypes.tw/start/?utm_source=shorts&utm_medium=social&utm_campaign=first_round_quiz_completion&utm_content=vivian_remembered,,發布後回填 posting-queue.csv 與 platform-kpi-tracker.csv；週回顧才彙總 kpi-tracker.csv。
claire,克萊兒,claire-now-content-variant-01,claire-content_variant,script_review,腳本審核,planned,,,你要的不是幫忙，是有人看見你快撐不住了,https://lovetypes.tw/start/?utm_source=shorts&utm_medium=social&utm_campaign=first_round_quiz_completion&utm_content=claire_tired,,確認 Hook、字幕、留言引導與安全邊界。
