sequence,phase,status,priority,platform,task_id,script_id,guardian_id,guardian_name,title,scheduled_date,scheduled_time,tracked_url,action,writeback,blocked_by,safety_note
1,profile_setup,done,high,youtube_shorts,profile-youtube_shorts,,,,設定 YouTube Shorts 個人頁入口,,,https://lovetypes.tw/start/?utm_source=youtube&utm_medium=social_profile&utm_campaign=first_round_quiz_completion&utm_content=youtube_shorts_bio,把 Bio/Profile link 設為 Channel description / video description，並放上置頂留言。,"status=set/live, profile_link_set_date, profile_clicks, site_clicks, quiz_starts, quiz_completions",,入口只導向 15 題測驗，不導購、不承諾療效。
2,asset_ready_check,prepared,high,all,publish-lt-s01-iris-silence,lt-s01-iris-silence,iris,艾莉絲,他沉默時，你最想聽見哪一句話？,,,https://lovetypes.tw/start/?utm_source=shorts&utm_medium=social&utm_campaign=first_round_quiz_completion&utm_content=iris_silence,預先確認直式影片、字幕、封面或首幀、caption、留言 CTA 與安全邊界；等 profile gate 開啟後才進入發布。,mark asset ready before platform posting,,短片 CTA 維持測驗入口，不把素材改成直接購買。
3,asset_ready_check,prepared,high,all,publish-lt-s02-iris-affirmation,lt-s02-iris-affirmation,iris,艾莉絲,哪一句肯定，會讓你瞬間安心？,,,https://lovetypes.tw/start/?utm_source=shorts&utm_medium=social&utm_campaign=first_round_quiz_completion&utm_content=iris_affirmation,預先確認直式影片、字幕、封面或首幀、caption、留言 CTA 與安全邊界；等 profile gate 開啟後才進入發布。,mark asset ready before platform posting,,短片 CTA 維持測驗入口，不把素材改成直接購買。
4,asset_ready_check,prepared,high,all,publish-lt-s03-iris-too-sensitive,lt-s03-iris-too-sensitive,iris,艾莉絲,你真的太敏感嗎？還是你只是等一句清楚的話？,,,https://lovetypes.tw/start/?utm_source=shorts&utm_medium=social&utm_campaign=first_round_quiz_completion&utm_content=iris_too_sensitive,預先確認直式影片、字幕、封面或首幀、caption、留言 CTA 與安全邊界；等 profile gate 開啟後才進入發布。,mark asset ready before platform posting,,短片 CTA 維持測驗入口，不把素材改成直接購買。
5,publish_post,ready,high,youtube_shorts,publish-lt-s01-iris-silence,lt-s01-iris-silence,iris,艾莉絲,他沉默時，你最想聽見哪一句話？,2026-06-15,20:30,https://lovetypes.tw/start/?utm_source=shorts&utm_medium=social&utm_campaign=first_round_quiz_completion&utm_content=iris_silence,依 YouTube Shorts caption 發布，確認連結與 UTM 未被改寫。,"posting-queue.csv: status=published, published_date, post_url",,只使用單一 CTA：完成 15 題測驗，找到你的情感守護者。
6,publish_post,ready,high,youtube_shorts,publish-lt-s02-iris-affirmation,lt-s02-iris-affirmation,iris,艾莉絲,哪一句肯定，會讓你瞬間安心？,2026-06-17,20:30,https://lovetypes.tw/start/?utm_source=shorts&utm_medium=social&utm_campaign=first_round_quiz_completion&utm_content=iris_affirmation,依 YouTube Shorts caption 發布，確認連結與 UTM 未被改寫。,"posting-queue.csv: status=published, published_date, post_url",,只使用單一 CTA：完成 15 題測驗，找到你的情感守護者。
7,publish_post,ready,high,youtube_shorts,publish-lt-s03-iris-too-sensitive,lt-s03-iris-too-sensitive,iris,艾莉絲,你真的太敏感嗎？還是你只是等一句清楚的話？,2026-06-19,20:30,https://lovetypes.tw/start/?utm_source=shorts&utm_medium=social&utm_campaign=first_round_quiz_completion&utm_content=iris_too_sensitive,依 YouTube Shorts caption 發布，確認連結與 UTM 未被改寫。,"posting-queue.csv: status=published, published_date, post_url",,只使用單一 CTA：完成 15 題測驗，找到你的情感守護者。
8,kpi_backfill,blocked_until_published,high,youtube_shorts,publish-lt-s01-iris-silence,lt-s01-iris-silence,iris,艾莉絲,他沉默時，你最想聽見哪一句話？,2026-06-15,20:30,https://lovetypes.tw/start/?utm_source=shorts&utm_medium=social&utm_campaign=first_round_quiz_completion&utm_content=iris_silence,發布後先回填平台貼文 URL 與最小 KPI；有結果後互動時補齊守護者、補給、修復計畫、Luna、收藏、名單、聯盟與 Contact 欄位；週回顧再彙總到腳本級 KPI。,"platform-kpi-tracker.csv: platform row post_url, site_clicks, quiz_starts, quiz_completions, guardian_result_clicks, resources_clicks, repair_plan_clicks, luna_clicks, keepsake_clicks, free_keepsake_downloads, supply_lead_requests, luna_pack_clicks, affiliate_book_clicks, contact_requests; kpi-tracker.csv: script-level weekly rollup",post_url,只使用單一 CTA：完成 15 題測驗，找到你的情感守護者。
9,kpi_backfill,blocked_until_published,high,youtube_shorts,publish-lt-s02-iris-affirmation,lt-s02-iris-affirmation,iris,艾莉絲,哪一句肯定，會讓你瞬間安心？,2026-06-17,20:30,https://lovetypes.tw/start/?utm_source=shorts&utm_medium=social&utm_campaign=first_round_quiz_completion&utm_content=iris_affirmation,發布後先回填平台貼文 URL 與最小 KPI；有結果後互動時補齊守護者、補給、修復計畫、Luna、收藏、名單、聯盟與 Contact 欄位；週回顧再彙總到腳本級 KPI。,"platform-kpi-tracker.csv: platform row post_url, site_clicks, quiz_starts, quiz_completions, guardian_result_clicks, resources_clicks, repair_plan_clicks, luna_clicks, keepsake_clicks, free_keepsake_downloads, supply_lead_requests, luna_pack_clicks, affiliate_book_clicks, contact_requests; kpi-tracker.csv: script-level weekly rollup",post_url,只使用單一 CTA：完成 15 題測驗，找到你的情感守護者。
10,kpi_backfill,blocked_until_published,high,youtube_shorts,publish-lt-s03-iris-too-sensitive,lt-s03-iris-too-sensitive,iris,艾莉絲,你真的太敏感嗎？還是你只是等一句清楚的話？,2026-06-19,20:30,https://lovetypes.tw/start/?utm_source=shorts&utm_medium=social&utm_campaign=first_round_quiz_completion&utm_content=iris_too_sensitive,發布後先回填平台貼文 URL 與最小 KPI；有結果後互動時補齊守護者、補給、修復計畫、Luna、收藏、名單、聯盟與 Contact 欄位；週回顧再彙總到腳本級 KPI。,"platform-kpi-tracker.csv: platform row post_url, site_clicks, quiz_starts, quiz_completions, guardian_result_clicks, resources_clicks, repair_plan_clicks, luna_clicks, keepsake_clicks, free_keepsake_downloads, supply_lead_requests, luna_pack_clicks, affiliate_book_clicks, contact_requests; kpi-tracker.csv: script-level weekly rollup",post_url,只使用單一 CTA：完成 15 題測驗，找到你的情感守護者。
