metric,category,primary_source,tracker_files,required_proof,zero_allowed,zero_rule,decision_use,manual_writeback,safety_boundary
views,platform_engagement,Platform analytics screen for the published post or profile link.,kpi-tracker.csv|platform-kpi-tracker.csv,public post/profile URL plus analytics screenshot or checked proof note.,yes_after_public_source_check,0 is valid only after the public URL exists and the platform analytics screen has been checked for the same date window.,"Useful for creative learning, but cannot choose a winning guardian or product path without site and quiz data.",promotion_post_writeback.py or promotion_profile_writeback.py,"Do not use this metric to claim diagnosis, therapeutic outcome, guaranteed repair, or required purchase."
likes,platform_engagement,Platform analytics screen for the published post or profile link.,kpi-tracker.csv|platform-kpi-tracker.csv,public post/profile URL plus analytics screenshot or checked proof note.,yes_after_public_source_check,0 is valid only after the public URL exists and the platform analytics screen has been checked for the same date window.,"Useful for creative learning, but cannot choose a winning guardian or product path without site and quiz data.",promotion_post_writeback.py or promotion_profile_writeback.py,"Do not use this metric to claim diagnosis, therapeutic outcome, guaranteed repair, or required purchase."
comments,platform_engagement,Platform analytics screen for the published post or profile link.,kpi-tracker.csv|platform-kpi-tracker.csv,public post/profile URL plus analytics screenshot or checked proof note.,yes_after_public_source_check,0 is valid only after the public URL exists and the platform analytics screen has been checked for the same date window.,"Useful for creative learning, but cannot choose a winning guardian or product path without site and quiz data.",promotion_post_writeback.py or promotion_profile_writeback.py,"Do not use this metric to claim diagnosis, therapeutic outcome, guaranteed repair, or required purchase."
shares,platform_engagement,Platform analytics screen for the published post or profile link.,kpi-tracker.csv|platform-kpi-tracker.csv,public post/profile URL plus analytics screenshot or checked proof note.,yes_after_public_source_check,0 is valid only after the public URL exists and the platform analytics screen has been checked for the same date window.,"Useful for creative learning, but cannot choose a winning guardian or product path without site and quiz data.",promotion_post_writeback.py or promotion_profile_writeback.py,"Do not use this metric to claim diagnosis, therapeutic outcome, guaranteed repair, or required purchase."
profile_clicks,platform_engagement,Platform analytics screen for the published post or profile link.,kpi-tracker.csv|platform-kpi-tracker.csv|platform-profile-tracker.csv,public post/profile URL plus analytics screenshot or checked proof note.,yes_after_public_source_check,0 is valid only after the public URL exists and the platform analytics screen has been checked for the same date window.,"Useful for creative learning, but cannot choose a winning guardian or product path without site and quiz data.",promotion_post_writeback.py or promotion_profile_writeback.py,"Do not use this metric to claim diagnosis, therapeutic outcome, guaranteed repair, or required purchase."
site_clicks,site_conversion,Website analytics or event log filtered by tracked_url / utm_content.,kpi-tracker.csv|platform-kpi-tracker.csv|platform-profile-tracker.csv,"post/profile URL, tracked UTM, analytics date window, and proof note.",yes_after_site_source_check,0 is valid only after the site analytics source was checked; blank is not the same as 0.,Minimum required for weekly review; quiz_completions is the main first-round success signal.,promotion_post_writeback.py or promotion_profile_writeback.py,"Do not use this metric to claim diagnosis, therapeutic outcome, guaranteed repair, or required purchase."
quiz_starts,site_conversion,Website analytics or event log filtered by tracked_url / utm_content.,kpi-tracker.csv|platform-kpi-tracker.csv|platform-profile-tracker.csv,"post/profile URL, tracked UTM, analytics date window, and proof note.",yes_after_site_source_check,0 is valid only after the site analytics source was checked; blank is not the same as 0.,Minimum required for weekly review; quiz_completions is the main first-round success signal.,promotion_post_writeback.py or promotion_profile_writeback.py,"Do not use this metric to claim diagnosis, therapeutic outcome, guaranteed repair, or required purchase."
quiz_completions,site_conversion,Website analytics or event log filtered by tracked_url / utm_content.,kpi-tracker.csv|platform-kpi-tracker.csv|platform-profile-tracker.csv,"post/profile URL, tracked UTM, analytics date window, and proof note.",yes_after_site_source_check,0 is valid only after the site analytics source was checked; blank is not the same as 0.,Minimum required for weekly review; quiz_completions is the main first-round success signal.,promotion_post_writeback.py or promotion_profile_writeback.py,"Do not use this metric to claim diagnosis, therapeutic outcome, guaranteed repair, or required purchase."
guardian_result_clicks,route_interest,"Website event catalog: guardian_resume_primary, guardian_resume_profile, home_resume_guardian, guide_resume_guardian, guardian_map_card",kpi-tracker.csv|platform-kpi-tracker.csv|platform-profile-tracker.csv,site event count or checked-zero proof note tied to the same UTM row.,yes_after_site_source_check,0 can inform route ordering only after minimum decision fields are also checked.,Supports route sequencing after quiz completion exists; does not justify paid-product production by itself.,"promotion_post_writeback.py, promotion_profile_writeback.py, or weekly review rollup","Do not use this metric to claim diagnosis, therapeutic outcome, guaranteed repair, or required purchase."
resources_clicks,route_interest,"Website event catalog: quiz_result_supply_route, home_resume_supply_route, guardian_hero_supply_route, supply_quick_route, supply_entry_routes, home_saved_pack_link, supply_pack_link",kpi-tracker.csv|platform-kpi-tracker.csv|platform-profile-tracker.csv,site event count or checked-zero proof note tied to the same UTM row.,yes_after_site_source_check,0 can inform route ordering only after minimum decision fields are also checked.,Supports route sequencing after quiz completion exists; does not justify paid-product production by itself.,"promotion_post_writeback.py, promotion_profile_writeback.py, or weekly review rollup","Do not use this metric to claim diagnosis, therapeutic outcome, guaranteed repair, or required purchase."
repair_plan_clicks,route_interest,"Website event catalog: quiz_result_repair_plan, home_resume_repair_plan, repair_resume_plan, practice_card_repair_plan",kpi-tracker.csv|platform-kpi-tracker.csv|platform-profile-tracker.csv,site event count or checked-zero proof note tied to the same UTM row.,yes_after_site_source_check,0 can inform route ordering only after minimum decision fields are also checked.,Supports route sequencing after quiz completion exists; does not justify paid-product production by itself.,"promotion_post_writeback.py, promotion_profile_writeback.py, or weekly review rollup","Do not use this metric to claim diagnosis, therapeutic outcome, guaranteed repair, or required purchase."
luna_clicks,route_interest,"Website event catalog: quiz_result_luna, home_resume_luna, guardian_resume_luna, luna_offer_resources, luna_use_case_action, home_saved_pack_luna, supply_pack_luna",kpi-tracker.csv|platform-kpi-tracker.csv|platform-profile-tracker.csv,site event count or checked-zero proof note tied to the same UTM row.,yes_after_site_source_check,0 can inform route ordering only after minimum decision fields are also checked.,Supports route sequencing after quiz completion exists; does not justify paid-product production by itself.,"promotion_post_writeback.py, promotion_profile_writeback.py, or weekly review rollup","Do not use this metric to claim diagnosis, therapeutic outcome, guaranteed repair, or required purchase."
keepsake_clicks,route_interest,"Website event catalog: quiz_result_keepsake, home_resume_keepsake, keepsake_resume_story_open, practice_card_supply_route",kpi-tracker.csv|platform-kpi-tracker.csv|platform-profile-tracker.csv,site event count or checked-zero proof note tied to the same UTM row.,yes_after_site_source_check,0 can inform route ordering only after minimum decision fields are also checked.,Supports route sequencing after quiz completion exists; does not justify paid-product production by itself.,"promotion_post_writeback.py, promotion_profile_writeback.py, or weekly review rollup","Do not use this metric to claim diagnosis, therapeutic outcome, guaranteed repair, or required purchase."
free_keepsake_downloads,route_interest,"Website event catalog: free_keepsake_download, collector_story_download, keepsake_resume_story_download, practice_card_print, home_saved_pack_free_keepsake, supply_pack_free_keepsake",kpi-tracker.csv|platform-kpi-tracker.csv|platform-profile-tracker.csv,site event count or checked-zero proof note tied to the same UTM row.,yes_after_site_source_check,0 can inform route ordering only after minimum decision fields are also checked.,Supports route sequencing after quiz completion exists; does not justify paid-product production by itself.,"promotion_post_writeback.py, promotion_profile_writeback.py, or weekly review rollup","Do not use this metric to claim diagnosis, therapeutic outcome, guaranteed repair, or required purchase."
supply_lead_requests,lead_or_revenue_intent,lead-intake-tracker.csv plus traceable consent/evidence; optional matching UTM attribution.,kpi-tracker.csv|platform-kpi-tracker.csv|platform-profile-tracker.csv|lead-intake-tracker.csv,"real user request, explicit_reply_ok consent, traceable email/thread/proof note, and safe notes without raw sensitive content.",no_without_review,"Do not write fake 0 demand from silence; keep blank until the lead window is reviewed, then document checked-zero separately.",Can open owned asset or Luna experiments only after repeated same-guardian demand and matching gates.,promotion_lead_writeback.py,"Do not use this metric to claim diagnosis, therapeutic outcome, guaranteed repair, or required purchase."
luna_pack_clicks,lead_or_revenue_intent,lead-intake-tracker.csv plus traceable consent/evidence; optional matching UTM attribution.,kpi-tracker.csv|platform-kpi-tracker.csv|platform-profile-tracker.csv|lead-intake-tracker.csv,"real user request, explicit_reply_ok consent, traceable email/thread/proof note, and safe notes without raw sensitive content.",no_without_review,"Do not write fake 0 demand from silence; keep blank until the lead window is reviewed, then document checked-zero separately.",Can open owned asset or Luna experiments only after repeated same-guardian demand and matching gates.,promotion_lead_writeback.py,"Do not use this metric to claim diagnosis, therapeutic outcome, guaranteed repair, or required purchase."
affiliate_book_clicks,route_interest,"Website event catalog: supply_route_affiliate_book, quiz_result_affiliate_book, repair_guardian_affiliate_book, repair_resume_affiliate_book",kpi-tracker.csv|platform-kpi-tracker.csv|platform-profile-tracker.csv,site event count or checked-zero proof note tied to the same UTM row.,yes_after_site_source_check,0 can inform route ordering only after minimum decision fields are also checked.,Supports route sequencing after quiz completion exists; does not justify paid-product production by itself.,"promotion_post_writeback.py, promotion_profile_writeback.py, or weekly review rollup","Do not use this metric to claim diagnosis, therapeutic outcome, guaranteed repair, or required purchase."
contact_requests,lead_or_revenue_intent,lead-intake-tracker.csv plus traceable consent/evidence; optional matching UTM attribution.,kpi-tracker.csv|platform-kpi-tracker.csv|platform-profile-tracker.csv|lead-intake-tracker.csv,"real user request, explicit_reply_ok consent, traceable email/thread/proof note, and safe notes without raw sensitive content.",no_without_review,"Do not write fake 0 demand from silence; keep blank until the lead window is reviewed, then document checked-zero separately.",Can open owned asset or Luna experiments only after repeated same-guardian demand and matching gates.,promotion_lead_writeback.py,"Do not use this metric to claim diagnosis, therapeutic outcome, guaranteed repair, or required purchase."
